id,hotel,texte,sentiment_attendu,sentiment_predit,top_star,confiance,correct
1,Aubergine Bordeaux,"Accueil glacial à la réception, chambre froide et bruyante, nous ne reviendrons pas.",négatif,négatif,2 stars,0.4095,True
2,Aubergine Bordeaux,"Personnel charmant, chambre impeccable, petit-déjeuner copieux. On reviendra avec plaisir.",positif,positif,5 stars,0.5284,True
3,Aubergine La Rochelle,Séjour correct sans plus. La chambre fait son âge mais reste fonctionnelle pour une nuit.,neutre,neutre,3 stars,0.7737,True
4,Aubergine La Rochelle,Chambre superbe avec vue sur le port mais petit-déjeuner décevant et service très lent.,neutre,neutre,3 stars,0.4381,True
5,Aubergine Biarritz,"Personnel charmant, comme une porte de prison. Trois quarts d'heure d'attente au check-in.",négatif,neutre,3 stars,0.3222,False
6,Aubergine Biarritz,"Vue magnifique, lit confortable, calme absolu. Exactement ce qu'on cherchait pour un weekend.",positif,positif,5 stars,0.7905,True
7,Aubergine Pau,"Pas mauvais du tout, on s'attendait à pire vu les avis. Bonne surprise sur le rapport qualité-prix.",positif,neutre,3 stars,0.6679,False
8,Aubergine Pau,"Mieux que la dernière fois, c'est déjà ça. Reste que la douche fuit toujours dans la salle de bain.",négatif,neutre,3 stars,0.3616,False
9,Aubergine Périgueux,"Établissement standard, conforme à la description. Rien à signaler de particulier.",neutre,positif,4 stars,0.5453,False
10,Aubergine Périgueux,"Hôtel d'une médiocrité rare. Bruit de plomberie toute la nuit, et personne pour s'en occuper.",négatif,négatif,1 star,0.8778,True
11,Aubergine Arcachon,"Excellente nuit, accueil au top, vue sur le bassin imprenable. Coup de cœur de l'année !",positif,positif,5 stars,0.9338,True
12,Aubergine Arcachon,"On a passé un séjour qu'on n'oubliera pas. La climatisation en panne en plein août, sympa.",négatif,positif,4 stars,0.5083,False
13,Aubergine Limoges,"Petit déjeuner buffet correct mais sans surprise. Chambre propre, literie ferme. Standard.",neutre,neutre,3 stars,0.6596,True
14,Aubergine Limoges,"Réception agréable, chambre récemment rénovée, beau bar à vins en bas. Très bonne adresse.",positif,positif,5 stars,0.5281,True
15,Aubergine Bayonne,"Conditions sanitaires limites dans la salle de bain. Cheveux dans la douche, poubelle pleine au check-in.",négatif,négatif,2 stars,0.3941,True
16,Aubergine Bayonne,"Bonne situation centrale, parking pratique. Chambre un peu petite mais bien insonorisée.",positif,positif,4 stars,0.6745,True
17,Aubergine Agen,"L'hôtel n'est plus ce qu'il était, je m'en souviens autrement quand j'y allais étudiant.",négatif,négatif,2 stars,0.3188,True
18,Aubergine Agen,"Séjour neutre, sans plus. Le personnel fait son travail, l'hôtel sa fonction. Rien de mémorable.",neutre,négatif,2 stars,0.4886,False
19,Aubergine Bergerac,Quelle déception après les avis enthousiastes. Chambre humide et odeur de tabac persistante.,négatif,négatif,2 stars,0.5513,True
20,Aubergine Bergerac,"Charmant, décoration soignée, restaurant inventif. On reviendra dès que possible avec des amis.",positif,positif,4 stars,0.4781,True
21,Aubergine Cognac,"Hôtel correct, sans plus, sans moins. Idéal pour une étape de passage mais pas pour un séjour.",neutre,neutre,3 stars,0.7659,True
22,Aubergine Cognac,Personnel adorable qui s'est mis en quatre pour nous trouver une chambre malgré notre arrivée tardive.,positif,positif,4 stars,0.4811,True
23,Aubergine Sarlat,"Wifi quasi inexistant, climatisation poussive, petit-déjeuner aux abonnés absents. Évitez.",négatif,négatif,1 star,0.7558,True
24,Aubergine Sarlat,"Très bonne surprise, vraie attention aux détails dans la chambre. Bouquet de lavande, eau plate offerte.",positif,positif,5 stars,0.6064,True
25,Aubergine Saintes,"Hôtel propre, bien tenu, mais sans personnalité. Aucun défaut, aucune émotion non plus.",neutre,neutre,3 stars,0.5672,True
26,Aubergine Saintes,"Si vous aimez attendre 25 minutes pour un check-in, c'est l'endroit rêvé. Sinon, passez votre chemin.",négatif,négatif,1 star,0.4431,True
27,Aubergine Royan,Pas mal du tout pour le prix. Petit-déjeuner basique mais correct. Bonne adresse pour un weekend court.,positif,positif,4 stars,0.5093,True
28,Aubergine Royan,"Chambre lumineuse, accueil pro, mais les murs sont fins et on entend tout du couloir.",neutre,neutre,3 stars,0.5891,True
29,Aubergine Niort,"Que dire à part que c'était parfait. Personnel, propreté, confort, calme. Tout y était. Bravo.",positif,positif,5 stars,0.8916,True
30,Aubergine Niort,"Annulez votre réservation tant qu'il est temps. Service inexistant, chambre douteuse, prix abusif.",négatif,négatif,1 star,0.9117,True
